Reference, Value, Vendor, Part#, Part#-2,, Footprint, Datasheet
Y1,16Mhz,Digikey,SER3686DKR-ND,,,Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en
C1,22pF,Digikey,399-8165-1-ND,,,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://api.kemet.com/component-edge/download/datasheet/C1206C220K2GACTU.pdf
RN1,R_Pack 10k Ohms,Digikey,OSOPT-10KACT-ND ,,,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,http://www.vishay.com/docs/60002/osop.pdf
C2,22pF,Digikey,399-8165-1-ND,,,Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://api.kemet.com/component-edge/download/datasheet/C1206C220K2GACTU.pdf
H1,MountingHole,,DNI,,,datapod:MountingHole_0.4_inches_Pad_Via,~
U1,ATmega328P-PU,Digikey,110-47-328-41-105000 ,ATmega328P-U,Install DIP socket on PCB and then mount chip on socket.,Package_DIP:DIP-28_W7.62mm_SMDSocket_SmallPads,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf
J9,Conn_02x03_Odd_Even,Digikey,WM17457-ND,,,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,https://www.molex.com/pdm_docs/sd/015910060_sd.pdf
TP2,TestPoint_2Pole,,DNI,,,TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,~
TP4,TestPoint_2Pole,,DNI,,,TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,~
Q1,FDG1024NZ,Digikey,FDG1024NZFSCT-ND,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf
D1,B220A-13-F ,Digikey,B220A-FDIDKR-ND,,,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf
D2,B220A-13-F ,Digikey,B220A-FDIDKR-ND,,,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf
Q2,FDG1024NZ,Digikey,FDG1024NZFSCT-ND,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf
D3,B220A-13-F ,Digikey,B220A-FDIDKR-ND,,,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf
D4,B220A-13-F ,Digikey,B220A-FDIDKR-ND,,,Diode_SMD:D_SMA,http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf
K1,DS2E-SL2-DC5V,Digikey,ED11086-ND,255-1066-ND,"Install DIP socket on PCB and then mount relay on socket, the line on the relay is towards the center of the board",Package_DIP:DIP-16_W8.89mm_SMDSocket_LongPads,https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_ds.pdf
J3,Conn_01x02,Digikey,WM11969-ND,,,Connector_Molex:Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal,https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/Mega-Fit_Power_Conn.pdf
J2,Conn_02x03_Odd_Even,Digikey,WM11971-ND,,,Connector_Molex:Molex_Mega-Fit_76825-0006_2x03_P5.70mm_Horizontal,https://www.molex.com/pdm_docs/as/AS-76823-100.pdf
J1,Conn_01x02,Digikey,WM3900-ND,,,Connector_Molex:Molex_Mini-Fit_Jr_5569-02A1_2x01_P4.20mm_Horizontal,https://www.molex.com/pdm_docs/sd/039291028_sd.pdf
K2,DS2E-SL2-DC5V,Digikey,ED11086-ND,255-1066-ND,"Install DIP socket on PCB and then mount relay on socket, the line on the relay is towards the center of the board",Package_DIP:DIP-16_W8.89mm_SMDSocket_LongPads,https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_ds.pdf
JP1,Jumper_3_Open,,DNI,,,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~
JP3,Jumper_3_Open,,DNI,,,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~
Q4,FDG1024NZ,Digikey,FDG1024NZFSCT-ND,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.fairchildsemi.com/ds/FD/FDG1024NZ.pdf
C7,1uF,Digikey, TCJP105M025R0500,,,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,http://datasheets.avx.com/TCJ.pdf
J5,DB9_Male_MountingHoles,Digikey,AE10968-ND,,,Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf
J4,DB9_Female,Digikey,AE10921-ND ,,,Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf
